taxon	distance	rate
Caenorhabditis	116.968515	0.001514
Caenorhabditis	95.240617	0.001772
Caenorhabditis	95.240617	0.00175
Caenorhabditis	102.511929	0.0017
Caenorhabditis	122.714185	0.001613
Caenorhabditis	79.119893	0.001811
Caenorhabditis	139.660492	0.001698
Caenorhabditis	113.077946	0.001733
Caenorhabditis	85.720581	0.001762
Caenorhabditis	85.720581	0.001772
Caenorhabditis	110.038849	0.001855
Caenorhabditis	110.038849	0.001854
Caenorhabditis	201.273742	0.001666
Caenorhabditis	157.718482	0.001715
Caenorhabditis	142.087696	0.000937
Caenorhabditis	182.577964	0.00099
Caenorhabditis	113.140008	0.001003
Caenorhabditis	226.389656	0.000864
Caenorhabditis	54.328092	0.002939
Caenorhabditis	54.328092	0.002925
Caenorhabditis	92.685858	0.002729
Caenorhabditis	81.643097	0.002815
Caenorhabditis	124.978934	0.001538
Caenorhabditis	180.371518	0.001518
Caenorhabditis	105.617779	0.001595
Caenorhabditis	105.617779	0.001591
Caenorhabditis	138.68913	0.001239
Caenorhabditis	88.344617	0.001371
Caenorhabditis	88.344617	0.001345
Caenorhabditis	115.115581	0.001254
Caenorhabditis	99.525979	0.001295
Caenorhabditis	181.424142	0.001219
Caenorhabditis	137.116135	0.001281
Caenorhabditis	117.95969	0.001274
Caenorhabditis	117.95969	0.001263
Caenorhabditis	675.020412	0.000591
Caenorhabditis	266.989226	0.000565
Caenorhabditis	266.989226	0.000574
Caenorhabditis	132.765079	0.000919
Caenorhabditis	132.765079	0.000913
Caenorhabditis	212.671643	0.000546
Caenorhabditis	593.641249	0.000709
Caenorhabditis	260.639833	0.000842
Caenorhabditis	460.56849	0.00064
Caenorhabditis	460.56849	0.000648
Caenorhabditis	183.235752	0.00093
Caenorhabditis	322.57346	0.00057
Caenorhabditis	655.145515	0.000638
Caenorhabditis	311.243526	0.00046
Caenorhabditis	532.694123	0.000763
Caenorhabditis	532.694123	0.000677
Caenorhabditis	487.738977	0.000705
Caenorhabditis	531.463456	0.000675
Caenorhabditis	498.337637	0.000555
Caenorhabditis	144.20314	0.00058
Caenorhabditis	177.637536	0.000567
Caenorhabditis	749.436772	0.000628
Caenorhabditis	344.490363	0.000642
Caenorhabditis	344.490363	0.000648
Caenorhabditis	68.276974	0.00233
Caenorhabditis	68.276974	0.002373
Caenorhabditis	83.949591	0.002313
Caenorhabditis	110.473938	0.002239
Caenorhabditis	223.10676	0.000673
Caenorhabditis	64.076774	0.001774
Caenorhabditis	255.030408	0.001225
Caenorhabditis	255.030408	0.001123
Caenorhabditis	48.205392	0.001821
Caenorhabditis	48.205392	0.001831
Caenorhabditis	98.175152	0.001725
Caenorhabditis	157.66795	0.000797
Caenorhabditis	184.583168	0.000682
Caenorhabditis	243.357618	0.000789